Source,Target,Line Name,Flows
Grange Hill,Chigwell,Central,859
Chigwell,Roding Valley,Central,1304
Edgware,Burnt Oak,Northern,3405
Burnt Oak,Colindale,Northern,6328
Colindale,Hendon Central,Northern,11345
Hendon Central,Brent Cross,Northern,14809
Brent Cross,Golders Green,Northern,15879
Golders Green,Hampstead,Northern,19613
Hampstead,Belsize Park,Northern,20686
Belsize Park,Chalk Farm,Northern,22545
Chalk Farm,Camden Town,Northern,24537
Camden Town,Euston,Northern,55970
Camden Town,Kentish Town,Northern,33254
Camden Town,Mornington Crescent,Northern,122
Euston,King's Cross St. Pancras,Northern,62110
Euston,King's Cross St. Pancras,Victoria,12618
Euston,Mornington Crescent,Northern,569
Euston,Warren Street,Northern,80181
Euston,Warren Street,Victoria,53575
Euston,South Hampstead,London Overground,4295
King's Cross St. Pancras,Angel,Northern,15016
King's Cross St. Pancras,Highbury & Islington,Victoria,49537
King's Cross St. Pancras,Euston Square,Circle,50005
King's Cross St. Pancras,Euston Square,Metropolitan,0
King's Cross St. Pancras,Euston Square,Hammersmith & City,0
King's Cross St. Pancras,Farringdon,Circle,23003
King's Cross St. Pancras,Farringdon,Metropolitan,0
King's Cross St. Pancras,Farringdon,Hammersmith & City,0
King's Cross St. Pancras,Russell Square,Piccadilly,39240
King's Cross St. Pancras,Caledonian Road,Piccadilly,50945
Angel,Old Street,Northern,17542
Old Street,Moorgate,Northern,21682
Moorgate,Barbican,Circle,33702
Moorgate,Barbican,Metropolitan,0
Moorgate,Barbican,Hammersmith & City,0
Borough,Elephant & Castle,Northern,11081
Elephant & Castle,Kennington,Northern,39444
Elephant & Castle,Lambeth North,Bakerloo,4873
Kennington,Oval,Northern,53976
Kennington,Nine Elms,Northern,21682
Oval,Stockwell,Northern,51659
Stockwell,Clapham North,Northern,49793
Stockwell,Brixton,Victoria,23381
Stockwell,Vauxhall,Victoria,34142
Clapham North,Clapham Common,Northern,47869
Clapham Common,Clapham South,Northern,43980
Clapham South,Balham,Northern,38039
Balham,Tooting Bec,Northern,31087
Tooting Bec,Tooting Broadway,Northern,25034
Tooting Broadway,Colliers Wood,Northern,16851
Colliers Wood,South Wimbledon,Northern,11602
South Wimbledon,Morden,Northern,8035
Finchley Central,Mill Hill East,Northern,1293
Finchley Central,West Finchley,Northern,9847
Finchley Central,East Finchley,Northern,16518
Charing Cross,Embankment,Northern,44482
Charing Cross,Embankment,Bakerloo,20363
Charing Cross,Leicester Square,Northern,15932
Charing Cross,Piccadilly Circus,Bakerloo,20363
Embankment,Temple,Circle,32735
Embankment,Temple,District,0
High Barnet,Totteridge & Whetstone,Northern,3271
Totteridge & Whetstone,Woodside Park,Northern,5516
Woodside Park,West Finchley,Northern,8415
East Finchley,Highgate,Northern,21737
Highgate,Archway,Northern,25852
Archway,Tufnell Park,Northern,30291
Tufnell Park,Kentish Town,Northern,32675
Warren Street,Goodge Street,Northern,18383
Leicester Square,Piccadilly Circus,Piccadilly,21687
Leicester Square,Covent Garden,Piccadilly,27777
Battersea Power Station,Nine Elms,Northern,0
Maryland,Forest Gate,TfL Rail,28440
Forest Gate,Manor Park,TfL Rail,26616
Manor Park,Ilford,TfL Rail,25284
Ilford,Seven Kings,TfL Rail,20853
Seven Kings,Goodmayes,TfL Rail,17811
Goodmayes,Chadwell Heath,TfL Rail,14905
Chadwell Heath,Romford,TfL Rail,11392
Romford,Gidea Park,TfL Rail,1285
Romford,Emerson Park,London Overground,253
Gidea Park,Harold Wood,TfL Rail,1159
Harold Wood,Brentwood,TfL Rail,1021
Brentwood,Shenfield,TfL Rail,248
Cambridge Heath,London Fields,London Overground,15529
London Fields,Hackney Downs,London Overground,15365
Hackney Downs,Rectory Road,London Overground,6350
Hackney Downs,Clapton,London Overground,9262
Rectory Road,Stoke Newington,London Overground,5982
Stoke Newington,Stamford Hill,London Overground,5686
Stamford Hill,Seven Sisters,London Overground,5563
Seven Sisters,Bruce Grove,London Overground,9174
Seven Sisters,Finsbury Park,Victoria,41863
Seven Sisters,Tottenham Hale,Victoria,27514
Bruce Grove,White Hart Lane,London Overground,8552
White Hart Lane,Silver Street,London Overground,7741
Silver Street,Edmonton Green,London Overground,6649
Edmonton Green,Southbury,London Overground,1843
Edmonton Green,Bush Hill Park,London Overground,3165
Southbury,Turkey Street,London Overground,1411
Turkey Street,Theobalds Grove,London Overground,665
Theobalds Grove,Cheshunt,London Overground,171
Enfield Town,Bush Hill Park,London Overground,1803
Emerson Park,Upminster,London Overground,120
Upminster,Upminster Bridge,District,607
Clapton,St James Street,London Overground,8516
St James Street,Walthamstow Central,London Overground,7671
Walthamstow Central,Wood Street,London Overground,6160
Walthamstow Central,Blackhorse Road,Victoria,13399
Wood Street,Highams Park,London Overground,4932
Highams Park,Chingford,London Overground,2040
Richmond,Kew Gardens,London Overground,5157
Richmond,Kew Gardens,District,0
Kew Gardens,Gunnersbury,London Overground,6861
Kew Gardens,Gunnersbury,District,5759
Gunnersbury,South Acton,London Overground,3004
Gunnersbury,Turnham Green,District,5759
South Acton,Acton Central,London Overground,3287
Harrow & Wealdstone,Kenton,London Overground,3012
Harrow & Wealdstone,Kenton,Bakerloo,0
Harrow & Wealdstone,Headstone Lane,London Overground,1971
Kenton,South Kenton,London Overground,3553
Kenton,South Kenton,Bakerloo,0
South Kenton,North Wembley,London Overground,4346
South Kenton,North Wembley,Bakerloo,0
North Wembley,Wembley Central,London Overground,5092
North Wembley,Wembley Central,Bakerloo,0
Wembley Central,Stonebridge Park,London Overground,6380
Wembley Central,Stonebridge Park,Bakerloo,0
Stonebridge Park,Harlesden,London Overground,7252
Stonebridge Park,Harlesden,Bakerloo,0
Harlesden,Willesden Junction,London Overground,7657
Harlesden,Willesden Junction,Bakerloo,0
Willesden Junction,Kensal Green,London Overground,7309
Willesden Junction,Kensal Green,Bakerloo,0
Willesden Junction,Acton Central,London Overground,6470
Willesden Junction,Kensal Rise,London Overground,12811
Kensal Green,Queen's Park,London Overground,6889
Kensal Green,Queen's Park,Bakerloo,6446
Queen's Park,Kilburn High Road,London Overground,4333
Queen's Park,Kilburn Park,Bakerloo,6446
Kilburn High Road,South Hampstead,London Overground,4333
Kensal Rise,Brondesbury Park,London Overground,12702
Brondesbury Park,Brondesbury,London Overground,12921
Finchley Road & Frognal,Hampstead Heath,London Overground,15877
Hampstead Heath,Gospel Oak,London Overground,16831
Gospel Oak,Kentish Town West,London Overground,15214
Gospel Oak,Upper Holloway,London Overground,2511
Kentish Town West,Camden Road,London Overground,14753
Camden Road,Caledonian Road & Barnsbury,London Overground,17044
Caledonian Road & Barnsbury,Highbury & Islington,London Overground,18084
Highbury & Islington,Canonbury,London Overground,26981
Highbury & Islington,Finsbury Park,Victoria,46093
Canonbury,Dalston Kingsland,London Overground,23452
Canonbury,Dalston Junction,London Overground,4556
Dalston Kingsland,Hackney Central,London Overground,22520
Hackney Central,Homerton,London Overground,21199
Homerton,Hackney Wick,London Overground,19907
Whitechapel,Shadwell,London Overground,14779
Whitechapel,Shoreditch High Street,London Overground,11760
Whitechapel,Aldgate East,District,38401
Whitechapel,Aldgate East,Hammersmith & City,9862
Whitechapel,Stepney Green,District,39137
Whitechapel,Stepney Green,Hammersmith & City,0
Shadwell,Wapping,London Overground,14367
Shadwell,Limehouse,DLR,23137
Shadwell,Tower Gateway,DLR,853
Wapping,Rotherhithe,London Overground,14453
Surrey Quays,New Cross Gate,London Overground,12605
Surrey Quays,New Cross,London Overground,1440
Surrey Quays,Queens Road Peckham,London Overground,5611
New Cross Gate,Brockley,London Overground,3501
Shoreditch High Street,Hoxton,London Overground,5904
Sydenham,Crystal Palace,London Overground,1935
Sydenham,Forest Hill,London Overground,3075
Sydenham,Penge West,London Overground,2372
Queens Road Peckham,Peckham Rye,London Overground,4372
Peckham Rye,Denmark Hill,London Overground,3452
Denmark Hill,Clapham High Street,London Overground,4948
Clapham High Street,Wandsworth Road,London Overground,4720
Wandsworth Road,Clapham Junction,London Overground,4497
Wandsworth Road,Battersea Park,London Overground,0
Clapham Junction,Imperial Wharf,London Overground,6294
West Brompton,Imperial Wharf,London Overground,6004
West Brompton,Kensington,London Overground,5776
West Brompton,Earl's Court,District,22910
West Brompton,Fulham Broadway,District,22650
Bushey,Watford High Street,London Overground,836
Bushey,Carpenders Park,London Overground,947
Watford High Street,Watford Junction,London Overground,491
Carpenders Park,Hatch End,London Overground,1403
Hatch End,Headstone Lane,London Overground,1775
Upper Holloway,Crouch Hill,London Overground,3162
Crouch Hill,Harringay Green Lanes,London Overground,3271
Harringay Green Lanes,South Tottenham,London Overground,3450
South Tottenham,Blackhorse Road,London Overground,3714
Blackhorse Road,Walthamstow Queens Road,London Overground,3649
Blackhorse Road,Tottenham Hale,Victoria,19862
Walthamstow Queens Road,Leyton Midland Road,London Overground,4231
